folioviv,sexo_jefe,edad_jefe,educa_jefe,tot_integ,hombres,mujeres,p12_64,p65mas,ocupados,percep_ing,perc_ocupa,total_gasto,total_ingreso
100003801,1,33,10,2,1,1,2,0,2,2,2,64108.149999999994,100696.7
100003802,1,29,10,2,1,1,2,0,2,2,2,87788.4,147496.59
100003803,1,47,10,6,2,4,3,0,1,1,1,78571.19,94622.95
100003804,2,29,11,3,0,3,3,0,2,3,2,51304.82000000001,58278.65
100003805,1,55,10,2,2,0,2,0,1,1,1,47589.29,57295.07
100010401,1,66,10,5,2,3,2,2,4,4,4,35760.55,158114.47
100010402,2,74,11,2,1,1,0,2,0,1,0,16812.53,34232.32
100010404,1,83,10,2,1,1,0,2,0,1,0,8727.1,23758.64
100010405,2,62,8,1,0,1,1,0,0,1,0,36765.149999999994,74905.9
100010406,1,53,10,4,2,2,4,0,2,2,2,53212.6,72343.69
100027701,2,50,10,3,1,2,3,0,3,3,3,346030.31,637910.94
100027702,1,69,4,5,1,4,1,2,3,3,3,48942.1,89416.62
100027703,2,82,3,2,0,2,1,1,0,2,0,4268.1,26416.55
100027706,1,48,10,4,2,2,4,0,2,4,2,35722.46,58667.82
100031901,2,41,4,9,4,5,6,0,5,5,5,22477.75,22989.1
100031902,1,66,4,1,1,0,0,1,0,1,0,8303.28,10293.82
100031903,1,54,6,4,3,1,4,0,3,3,3,28134.85,63829.46
100031904,1,45,4,4,2,2,4,0,2,2,2,27501.71,33217.45
100031905,2,35,10,4,2,2,2,0,1,1,1,54845.83,40940.2
100031906,2,40,10,3,1,2,2,0,1,2,1,28181.72,18141.98
100041501,2,73,10,2,1,1,1,1,1,2,1,24733.06,58506.75
100041502,1,33,8,1,1,0,1,0,1,1,1,21107.24,28910.739999999998
100041505,1,54,8,4,3,1,4,0,4,1,1,155835.37,152744.36
100041506,1,81,4,5,1,4,3,2,1,3,1,26755.68,51217.05
100062601,2,87,3,3,1,2,2,1,2,3,2,34560.98,58658.56
100062603,2,36,6,6,1,5,2,0,2,2,2,17064.89,15593.08
100062604,1,92,3,3,2,1,2,1,2,3,2,25762.68,59395.01
100062605,1,74,4,2,1,1,0,2,0,2,0,20738.76,22918.24
100062606,2,64,4,1,0,1,1,0,1,1,1,1999.8,10805.66
100068001,1,73,1,2,1,1,0,2,0,2,0,8214.8,15352.509999999998
100068002,1,64,6,3,1,2,3,0,1,2,1,30560.36,65028.11
100068003,1,82,1,1,1,0,0,1,1,1,1,5266.35,15359.18
100068003,1,41,6,7,3,4,5,0,5,3,3,18158.21,27912.7
100068004,1,50,7,5,2,3,5,0,4,2,2,18261.11,29791.25
100068005,1,84,3,1,1,0,0,1,0,1,0,4885.05,17118.34
100068006,1,30,10,3,2,1,2,0,2,2,2,29030.83,78614.38
100074201,2,37,8,6,2,4,4,0,2,6,2,23667.15,17469.32
100074202,2,74,4,2,1,1,0,2,2,2,2,9703.37,19551.72
100074203,1,71,6,2,1,1,0,2,0,1,0,17800.54,39698.81
100074204,1,35,6,5,4,1,3,0,2,2,2,26921.6,31119.14
100074205,1,25,6,3,2,1,2,0,1,2,1,18795.43,34278.98
100074206,1,93,1,5,4,1,3,2,2,5,2,21620.22,66592.76
100076301,2,84,4,3,1,2,2,1,1,1,1,23347.3,54111.55
100076302,1,39,6,3,1,2,2,0,2,1,1,24824.76,33789.869999999995
100076303,2,38,7,6,4,2,4,0,4,4,4,35916.47,77838.02
100076304,1,32,8,8,4,4,2,1,2,3,2,57343.44,49421.7
100076305,2,58,4,3,0,3,3,0,1,2,1,38248.49,68154.77
100076306,1,41,3,5,2,3,5,0,4,5,4,43503.35,63676.86
100079801,2,64,4,2,1,1,2,0,2,2,2,9676.54,40675.560000000005
100079802,1,66,3,3,2,1,1,2,3,3,3,8854.38,40754.08
100079803,2,67,3,4,1,3,2,1,1,2,1,8767.37,24019.54
100079804,1,52,6,1,1,0,1,0,1,1,1,22452.26,13084.41
100079806,2,92,3,1,0,1,0,1,0,1,0,8445.68,14550.89
100101401,1,89,3,3,1,2,2,1,0,1,0,2636.02,16524.56
100101402,1,51,10,1,1,0,1,0,1,1,1,30930.79,106655.31999999999
100101403,1,86,3,1,1,0,0,1,0,1,0,4375.26,23085.74
100101404,2,85,3,1,0,1,0,1,0,1,0,0.0,31623.61
100101405,2,52,9,3,1,2,3,0,3,3,3,33191.21,50484.67
100103701,1,32,10,3,1,2,2,0,2,3,2,73659.41,71353.14
100103702,1,41,5,2,2,0,1,0,1,2,1,13400.63,16818.04
100103703,1,76,3,1,1,0,0,1,1,1,1,4077.76,3592.0699999999997
100103704,2,75,6,6,0,6,5,1,2,5,3,20439.06,44477.15
100103705,1,38,8,4,2,2,3,0,2,2,2,24326.62,38404.1
100105902,1,61,6,6,2,4,5,0,4,5,4,64567.82,84987.28
100105903,2,36,7,3,2,1,2,0,2,3,2,30699.11,38190.25
100105904,1,62,4,6,2,4,3,0,2,3,2,18580.17,38257.88
100105905,1,30,7,2,1,1,2,0,2,1,1,40217.18,41317.21
100105906,2,33,10,3,1,2,1,0,1,3,1,30114.09,62736.46
100109501,1,57,3,3,1,2,3,0,2,2,2,9609.49,15178.16
100109503,2,78,4,2,1,1,1,1,1,2,1,65460.100000000006,75228.24
100109504,1,46,6,3,2,1,3,0,1,2,1,30191.75,26845.329999999998
100109506,1,43,6,2,1,1,2,0,2,2,2,22147.82,25873.55
100110601,2,60,4,4,1,3,3,1,3,4,3,39089.6,59800.89
