folioviv,foliohog,clave,mes_1,mes_2,mes_3,mes_4,mes_5,mes_6,ero_1,ero_2,ero_3,ero_4,ero_5,ero_6,ero_tri
260384604,1,Q003,9,8,7,6,5,4,1000,1000,1000,1000,1000,0,2459.01
260384605,1,Q003,9,8,7,6,5,4,4999,4999,0,0,0,0,4917.04
260385020,1,Q001,10,9,8,7,6,5,14000,14000,14000,14000,14000,14000,41086.95
260385021,1,Q001,10,9,8,7,6,5,2000,2000,2000,2000,2000,2000,5869.56
260385202,1,Q001,10,9,8,7,6,5,6000,4000,6000,5000,2000,5000,13922.65
260385203,1,Q001,10,9,8,7,6,5,4000,3000,5000,4000,0,1000,8453.03
260385205,1,Q001,10,9,8,7,6,5,3000,2500,3000,1000,1000,0,5220.99
260385311,1,Q001,8,7,6,5,4,3,500,500,500,500,500,500,1467.39
260385314,1,Q009,8,7,6,5,4,3,400,400,400,400,400,400,1173.91
260385314,1,Q001,8,7,6,5,4,3,100,100,100,100,100,100,293.47
260385314,1,Q002,8,7,6,5,4,3,50,0,0,0,0,0,24.45
260385917,1,Q001,10,9,8,7,6,5,1500,2000,1500,0,0,0,2445.65
260390508,1,Q001,8,7,6,5,4,3,1500,500,1000,1800,500,500,2836.95
260390719,1,Q001,10,9,8,7,6,5,1000,1000,1000,0,0,0,1475.4
260390721,1,Q001,10,9,8,7,6,5,3000,3000,2000,2000,2000,0,5901.63
260390722,1,Q001,10,9,8,7,6,5,3500,3000,3000,3500,4000,3000,9836.06
260410207,1,Q014,7,6,5,4,3,2,4750,4750,4750,4750,4750,4750,14171.27
260410812,1,Q014,9,8,7,6,5,4,200,3200,800,800,5500,4200,7229.5
260410814,1,Q003,9,8,7,6,5,4,200,200,200,200,200,200,590.16
260410920,1,Q001,10,9,8,7,6,5,700,700,700,700,700,700,2054.34
260410921,1,Q001,10,9,8,7,6,5,12000,12000,0,12000,12000,0,23478.26
260413303,1,Q014,8,7,6,5,4,3,2200,0,0,0,0,0,1076.08
260413407,1,Q004,8,7,6,5,4,3,2000,1000,1500,0,0,0,2201.08
260413409,1,Q002,8,7,6,5,4,3,250,250,250,250,250,250,733.69
260413412,1,Q003,8,7,6,5,4,3,200,200,200,200,200,200,586.95
260413516,1,Q006,8,7,6,5,4,3,0,200,0,0,0,0,97.82
260413624,1,Q002,9,8,7,6,5,4,3000,0,0,0,0,0,1475.4
260413624,1,Q001,9,8,7,6,5,4,7000,10000,10000,10000,10000,10000,28032.78
260414810,1,Q002,9,8,7,6,5,4,500,200,0,0,0,0,344.26
260414915,1,Q003,10,9,8,7,6,5,1000,1000,1000,1000,1000,1000,2934.78
260414915,1,Q012,10,9,8,7,6,5,0,0,0,0,0,7344,3592.17
260416417,1,Q001,9,8,7,6,5,4,500,3000,3000,3000,3000,3000,7581.52
260416521,1,Q001,8,7,6,5,4,3,0,11000,3000,0,0,0,6847.82
260416521,1,Q014,8,7,6,5,4,3,0,0,0,0,0,3150,1540.76
300003701,1,Q003,9,8,7,6,5,4,13280,13280,13280,13280,13280,13280,39186.88
300003701,1,Q007,9,8,7,6,5,4,1200,1200,1200,1200,1200,1200,3540.98
300003702,1,Q012,9,8,7,6,5,4,5000,5000,5000,5000,5000,5000,14754.09
300003702,1,Q003,9,8,7,6,5,4,16000,16000,16000,16000,16000,16000,47213.11
300008805,1,Q007,9,8,7,6,5,4,0,3000,0,0,0,0,1475.4
300008805,1,Q003,9,8,7,6,5,4,1500,1000,1000,1000,1000,1000,3196.72
300012601,1,Q003,9,8,7,6,5,4,1100,1100,1100,1100,1100,1100,3245.9
300012603,1,Q001,9,8,7,6,5,4,3000,3000,3000,3000,3000,3000,8852.45
300012603,1,Q005,9,8,7,6,5,4,150,150,150,150,150,150,442.62
300012603,1,Q003,9,8,7,6,5,4,300,300,300,300,300,300,885.24
300012605,1,Q001,9,8,7,6,5,4,600,600,600,600,600,600,1770.49
300012605,1,Q004,9,8,7,6,5,4,2400,2400,2400,2400,2400,2400,7081.96
300012606,1,Q001,9,8,7,6,5,4,3500,3500,3500,3500,3500,3500,10327.86
300012606,1,Q003,9,8,7,6,5,4,1500,1500,1500,1500,1500,1500,4426.22
300015505,1,Q014,8,7,6,5,4,3,0,0,2000,0,0,0,978.26
