fecha_pago,descripcion
0,No aplica
1,enero de 2000
2,febrero de 2000
3,marzo de 2000
4,abril de 2000
5,mayo de 2000
6,junio de 2000
7,julio de 2000
8,agosto de 2000
9,septiembre de 2000
10,octubre de 2000
11,noviembre de 2000
12,diciembre de 2000
101,enero de 2001
102,febrero de 2001
103,marzo de 2001
104,abril de 2001
105,mayo de 2001
106,junio de 2001
107,julio de 2001
108,agosto de 2001
109,septiembre de 2001
110,octubre de 2001
111,noviembre de 2001
112,diciembre de 2001
201,enero de 2002
202,febrero de 2002
203,marzo de 2002
204,abril de 2002
205,mayo de 2002
206,junio de 2002
207,julio de 2002
208,agosto de 2002
209,septiembre de 2002
210,octubre de 2002
211,noviembre de 2002
212,diciembre de 2002
301,enero de 2003
302,febrero de 2003
303,marzo de 2003
304,abril de 2003
305,mayo de 2003
306,junio de 2003
307,julio de 2003
308,agosto de 2003
309,septiembre de 2003
310,octubre de 2003
311,noviembre de 2003
312,diciembre de 2003
401,enero de 2004
402,febrero de 2004
403,marzo de 2004
404,abril de 2004
405,mayo de 2004
406,junio de 2004
407,julio de 2004
408,agosto de 2004
409,septiembre de 2004
410,octubre de 2004
411,noviembre de 2004
412,diciembre de 2004
501,enero de 2005
502,febrero de 2005
503,marzo de 2005
504,abril de 2005
505,mayo de 2005
506,junio de 2005
507,julio de 2005
508,agosto de 2005
509,septiembre de 2005
510,octubre de 2005
511,noviembre de 2005
512,diciembre de 2005
601,enero de 2006
602,febrero de 2006
603,marzo de 2006
604,abril de 2006
605,mayo de 2006
606,junio de 2006
607,julio de 2006
608,agosto de 2006
609,septiembre de 2006
610,octubre de 2006
611,noviembre de 2006
612,diciembre de 2006
701,enero de 2007
702,febrero de 2007
703,marzo de 2007
704,abril de 2007
705,mayo de 2007
706,junio de 2007
707,julio de 2007
708,agosto de 2007
709,septiembre de 2007
710,octubre de 2007
711,noviembre de 2007
712,diciembre de 2007
801,enero de 2008
802,febrero de 2008
803,marzo de 2008
804,abril de 2008
805,mayo de 2008
806,junio de 2008
807,julio de 2008
808,agosto de 2008
809,septiembre de 2008
810,octubre de 2008
811,noviembre de 2008
812,diciembre de 2008
901,enero de 2009
902,febrero de 2009
903,marzo de 2009
904,abril de 2009
905,mayo de 2009
906,junio de 2009
907,julio de 2009
908,agosto de 2009
909,septiembre de 2009
910,octubre de 2009
911,noviembre de 2009
912,diciembre de 2009
1001,enero de 2010
1002,febrero de 2010
1003,marzo de 2010
1004,abril de 2010
1005,mayo de 2010
1006,junio de 2010
1007,julio de 2010
1008,agosto de 2010
1009,septiembre de 2010
1010,octubre de 2010
1011,noviembre de 2010
1012,diciembre de 2010
1101,enero de 2011
1102,febrero de 2011
1103,marzo de 2011
1104,abril de 2011
1105,mayo de 2011
1106,junio de 2011
1107,julio de 2011
1108,agosto de 2011
1109,septiembre de 2011
1110,octubre de 2011
1111,noviembre de 2011
1112,diciembre de 2011
1201,enero de 2012
1202,febrero de 2012
1203,marzo de 2012
1204,abril de 2012
1205,mayo de 2012
1206,junio de 2012
1207,julio de 2012
1208,agosto de 2012
1209,septiembre de 2012
1210,octubre de 2012
1211,noviembre de 2012
1212,diciembre de 2012
1301,enero de 2013
1302,febrero de 2013
1303,marzo de 2013
1304,abril de 2013
1305,mayo de 2013
1306,junio de 2013
1307,julio de 2013
1308,agosto de 2013
1309,septiembre de 2013
1310,octubre de 2013
1311,noviembre de 2013
1312,diciembre de 2013
1401,enero de 2014
1402,febrero de 2014
1403,marzo de 2014
1404,abril de 2014
1405,mayo de 2014
1406,junio de 2014
1407,julio de 2014
1408,agosto de 2014
1409,septiembre de 2014
1410,octubre de 2014
1411,noviembre de 2014
1412,diciembre de 2014
1501,enero de 2015
1502,febrero de 2015
1503,marzo de 2015
1504,abril de 2015
1505,mayo de 2015
1506,junio de 2015
1507,julio de 2015
1508,agosto de 2015
1509,septiembre de 2015
1510,octubre de 2015
1511,noviembre de 2015
1512,diciembre de 2015
1601,enero de 2016
1602,febrero de 2016
1603,marzo de 2016
1604,abril de 2016
1605,mayo de 2016
1606,junio de 2016
1607,julio de 2016
1608,agosto de 2016
1609,septiembre de 2016
1610,octubre de 2016
1611,noviembre de 2016
1612,diciembre de 2016
1701,enero de 2017
1702,febrero de 2017
1703,marzo de 2017
1704,abril de 2017
1705,mayo de 2017
1706,junio de 2017
1707,julio de 2017
1708,agosto de 2017
1709,septiembre de 2017
1710,octubre de 2017
1711,noviembre de 2017
1712,diciembre de 2017
