gastos,descripcion
A001,Maíz en grano (de todo tipo y color)
A002,"Harina de maíz, maicena, fécula, nixtamalizada para tortillas, para atole y harina para tamales"
A003,Masa de maíz (de todo tipo y color)
A004,Tortilla de maíz (de todo tipo y color)
A005,"Tostadas, raspadas, tostitos, totopos, tlayudas"
A006,Otros productos de maíz (excepto cereal)
A007,Harina de trigo
A008,Tortilla de harina
A009,Pasta para sopa
A010,Galletas dulces
A011,Galletas saladas
A012,"Pan blanco: bolillo, telera, baguete, etcétera"
A013,Pan dulce en piezas (de todo tipo)
A014,Pan dulce empaquetado
A015,"Pan para sándwich, hamburguesa, hot dog y tostado"
A016,"Pasteles y pastelillos en piezas o a granel, pastel casero"
A017,Pasteles y pastelillos empaquetados
A018,"Trigo en grano, otros productos de trigo (excepto cereal)"
A019,Arroz en grano
A020,Otros productos de arroz
A021,"Cereal de maíz, de trigo, de arroz, de avena, de granola, etcétera"
A022,"Botanas: frituras, palomitas, cheetos, doritos etcétera (excepto papas)"
A023,Sopas instantáneas
A024,Otros cereales (excepto cereal)
A025,Bistec de res (de cualquier parte que se saque)
A026,"Arrachera, filete"
A027,Milanesa de res
A028,Chamorro de res
A029,Chuleta de costilla de res
A030,"Agujas, aldilla, chambarete, diezmillo, espinazo, fajilla de res para asar, retazo, tampiqueña"
A031,Cocido de res
A032,Cortes especiales de res
A033,Hamburguesas de res para asar
A034,Molida de res
A035,Pulpa de res en trozo
A036,Carne de otras partes de la res
A037,Vísceras de res
A038,Bistec de puerco (de cualquier parte que se saque)
A039,Pierna de puerco en trozo
A040,Pulpa de puerco en trozo
A041,Molida de puerco
A042,Costilla y chuleta de puerco
A043,Espaldilla de puerco
A044,Codillo de puerco
A045,Carne de otras partes del puerco
A046,Vísceras de puerco
A047,Carne enchilada
A048,Chicharrón de puerco
A049,Chorizo con cualquier condimento y color y longaniza
A050,Chuleta ahumada de puerco
A051,Machaca y carne seca
A052,Jamón de puerco
A053,"Mortadela, queso de puerco y salami, bolonia de carnes surtidas"
A054,Lardo procesado (tocino)
A055,Salchichas y salchichón
A056,"Otras carnes procesadas, cueritos"
A057,"Pierna, muslo o pechuga de pollo con hueso"
A058,"Pierna, muslo o pechuga de pollo sin hueso"
A059,"Pollo entero o en piezas (excepto, pierna, muslo y pechuga)"
A060,Vísceras y otras partes del pollo
A061,Otras aves
A062,"Chorizo de pollo, jamón y nugget, salchicha, mortadela, etcétera"
A063,Borrego y carnero
A064,Chivo y cabrito
A065,"Otras carnes: caballo, conejo, iguana, jabalí, rana, tortuga, venado"
A066,Pescado entero limpio y sin limpiar
A067,Filete de pescado
A068,Atún enlatado
A069,Salmón y bacalao procesado
A070,"Pescado ahumado, seco, nugget, sardina, etcétera"
A071,"Anguilas, angulas, hueva de pescado, mantarraya, pejelagarto, etcétera"
A072,Camarón fresco
A073,Mariscos frescos
A074,Mariscos procesados
A075,Leche pasteurizada de vaca
A076,Leche condensada
A077,Leche evaporada
A078,Leche en polvo entera o descremada
A079,Leche modificada o maternizada
A080,Leche no pasteurizada (leche bronca)
