scian,descripcion
980,Trabajador en el extranjero
1003,Actividades en quehaceres del hogar (personas que declaran trabajar en los quehaceres de su propio hogar o de sus familiares)
1006,Limosneros ( personas que piden limosna o prestan servicios que no son solicitados)
1008,No trabajo otros inactivos
1110,Agricultura
1121,Cría y explotación de animales
1122,Acuicultura
1130,Aprovechamiento forestal
1141,Pesca
1142,Caza y captura
1150,Servicios relacionados con las actividades agropecuarias y forestales
1199,"""Descripciones insuficientemente especificadas de subsector de actividad del sector 11, Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza"""
2110,Extracción de petróleo y gas
2121,Minería de carbón mineral
2122,Minería de minerales metálicos
2123,Minería de minerales no metálicos
2129,Descripciones insuficientemente especificadas de minerales metálicos y no metálicos
2131,Servicios relacionados con la minería
2132,Perforación de pozos petroleros y de gas
2210,"""Generación, transmisión y distribución de energía eléctrica"""
2221,"""Captación, tratamiento y suministro de agua"""
2222,Suministro de gas por ductos al consumidor final
2361,Edificación residencial
2363,Edificación no residencial
2370,Construcción de obras de ingeniería civil
2381,Trabajos especializados para la construcción
2382,Trabajos de albañilería de instalaciones hidrosanitarias y eléctricas y de trabajos en exteriores
2399,"""Descripciones insuficientemente especificadas de subsector de actividad del sector 23, Construcción"""
3110,Industria alimentaria
3120,Industria de las bebidas y del tabaco
3130,Fabricación de insumos textiles y acabado de textiles
3140,"""Fabricación de productos textiles, excepto prendas de vestir"""
3150,Fabricación de prendas de vestir
3160,"""Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos"""
3210,Industria de la madera
3220,Industria del papel
3230,Impresión e industrias conexas
3240,Fabricación de productos derivados del petróleo y del carbón
3250,Industria química
3260,Industria del plástico y del hule
3270,Fabricación de productos a base de minerales no metálicos
3310,Industrias metálicas básicas
3320,Fabricación de productos metálicos
3330,Fabricación de maquinaria y equipo
3340,"""Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos"""
3350,"""Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica"""
3360,Fabricación de equipo de transporte y partes para vehículos automotores
3370,"""Fabricación de muebles, colchones y persianas"""
3380,Otras industrias manufactureras
3399,Descripciones insuficientemente especificadas de subsector de actividad del sector 31-33 Industrias manufactureras
4310,"""Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco"""
4320,Comercio al por mayor de productos textiles y calzado
4330,"""Comercio al por mayor de productos farmacéuticos, de perfumería, artículos para el esparcimiento, electrodomésticos menores y aparatos de línea blanca"""
4340,"""Comercio al por mayor de materias primas agropecuarias y forestales, para la industria, y materiales de desecho"""
