ubica_geo,cve_ent,nom_ent,cve_mun,nom_mun,cve_loc,nom_loc 
10010000,1,Aguascalientes,1,Aguascalientes,0,Sin nombre de localidad
10020000,1,Aguascalientes,2,Asientos,0,Sin nombre de localidad
10030000,1,Aguascalientes,3,Calvillo,0,Sin nombre de localidad
10040000,1,Aguascalientes,4,Cosío,0,Sin nombre de localidad
10050000,1,Aguascalientes,5,Jesús María,0,Sin nombre de localidad
10060000,1,Aguascalientes,6,Pabellón de Arteaga,0,Sin nombre de localidad
10070000,1,Aguascalientes,7,Rincón de Romos,0,Sin nombre de localidad
10090000,1,Aguascalientes,9,Tepezalá,0,Sin nombre de localidad
10100000,1,Aguascalientes,10,El Llano,0,Sin nombre de localidad
10110000,1,Aguascalientes,11,San Francisco de los Romo,0,Sin nombre de localidad
20010000,2,Baja California,1,Ensenada,0,Sin nombre de localidad
20020000,2,Baja California,2,Mexicali,0,Sin nombre de localidad
20030000,2,Baja California,3,Tecate,0,Sin nombre de localidad
20040000,2,Baja California,4,Tijuana,0,Sin nombre de localidad
20050000,2,Baja California,5,Playas de Rosarito,0,Sin nombre de localidad
30010000,3,Baja California Sur,1,Comondú,0,Sin nombre de localidad
30020000,3,Baja California Sur,2,Mulegé,0,Sin nombre de localidad
30030000,3,Baja California Sur,3,La Paz,0,Sin nombre de localidad
30080000,3,Baja California Sur,8,Los Cabos,0,Sin nombre de localidad
30090000,3,Baja California Sur,9,Loreto,0,Sin nombre de localidad
40010000,4,Campeche,1,Calkiní,0,Sin nombre de localidad
40020000,4,Campeche,2,Campeche,0,Sin nombre de localidad
40030000,4,Campeche,3,Carmen,0,Sin nombre de localidad
40040000,4,Campeche,4,Champotón,0,Sin nombre de localidad
40050000,4,Campeche,5,Hecelchakán,0,Sin nombre de localidad
40060000,4,Campeche,6,Hopelchén,0,Sin nombre de localidad
40070000,4,Campeche,7,Palizada,0,Sin nombre de localidad
40080000,4,Campeche,8,Tenabo,0,Sin nombre de localidad
40090000,4,Campeche,9,Escárcega,0,Sin nombre de localidad
40100000,4,Campeche,10,Calakmul,0,Sin nombre de localidad
40110000,4,Campeche,11,Candelaria,0,Sin nombre de localidad
50020000,5,Coahuila de Zaragoza,2,Acuña,0,Sin nombre de localidad
50030000,5,Coahuila de Zaragoza,3,Allende,0,Sin nombre de localidad
50040000,5,Coahuila de Zaragoza,4,Arteaga,0,Sin nombre de localidad
50060000,5,Coahuila de Zaragoza,6,Castaños,0,Sin nombre de localidad
50070000,5,Coahuila de Zaragoza,7,Cuatro Ciénegas,0,Sin nombre de localidad
50090000,5,Coahuila de Zaragoza,9,Francisco I. Madero,0,Sin nombre de localidad
50100000,5,Coahuila de Zaragoza,10,Frontera,0,Sin nombre de localidad
50140000,5,Coahuila de Zaragoza,14,Jiménez,0,Sin nombre de localidad
50170000,5,Coahuila de Zaragoza,17,Matamoros,0,Sin nombre de localidad
50180000,5,Coahuila de Zaragoza,18,Monclova,0,Sin nombre de localidad
50190000,5,Coahuila de Zaragoza,19,Morelos,0,Sin nombre de localidad
50200000,5,Coahuila de Zaragoza,20,Múzquiz,0,Sin nombre de localidad
50210000,5,Coahuila de Zaragoza,21,Nadadores,0,Sin nombre de localidad
50220000,5,Coahuila de Zaragoza,22,Nava,0,Sin nombre de localidad
50230000,5,Coahuila de Zaragoza,23,Ocampo,0,Sin nombre de localidad
50240000,5,Coahuila de Zaragoza,24,Parras,0,Sin nombre de localidad
50250000,5,Coahuila de Zaragoza,25,Piedras Negras,0,Sin nombre de localidad
50260000,5,Coahuila de Zaragoza,26,Progreso,0,Sin nombre de localidad
50270000,5,Coahuila de Zaragoza,27,Ramos Arizpe,0,Sin nombre de localidad
50280000,5,Coahuila de Zaragoza,28,Sabinas,0,Sin nombre de localidad
50300000,5,Coahuila de Zaragoza,30,Saltillo,0,Sin nombre de localidad
50310000,5,Coahuila de Zaragoza,31,San Buenaventura,0,Sin nombre de localidad
50320000,5,Coahuila de Zaragoza,32,San Juan de Sabinas,0,Sin nombre de localidad
50330000,5,Coahuila de Zaragoza,33,San Pedro,0,Sin nombre de localidad
50350000,5,Coahuila de Zaragoza,35,Torreón,0,Sin nombre de localidad
50360000,5,Coahuila de Zaragoza,36,Viesca,0,Sin nombre de localidad
50370000,5,Coahuila de Zaragoza,37,Villa Unión,0,Sin nombre de localidad
50380000,5,Coahuila de Zaragoza,38,Zaragoza,0,Sin nombre de localidad
60010000,6,Colima,1,Armería,0,Sin nombre de localidad
60020000,6,Colima,2,Colima,0,Sin nombre de localidad
60030000,6,Colima,3,Comala,0,Sin nombre de localidad
60040000,6,Colima,4,Coquimatlán,0,Sin nombre de localidad
60050000,6,Colima,5,Cuauhtémoc,0,Sin nombre de localidad
60060000,6,Colima,6,Ixtlahuacán,0,Sin nombre de localidad
