folioviv,foliohog,numren,id_trabajo,tipoact,cose_cria,prep_deriv,otro_pago,fpago_1,fpago_2,fpago_3,fpago_4,fpago_5,fpago_6,fpago_7,fpago_8,nofpago,t_emp,h_emp,m_emp,t_cpago,h_cpago,m_cpago,t_ispago,h_ispago,m_ispago,t_nispago,h_nispago,m_nispago,valrema,valproc,apoyo,apoyo_1,apoyo_2,apoyo_3,apoyo_4,apoyo_5,apoyo_6,apoyo_7,apoyo_8,procampo,mesproc,progan,mesprogan,reg_not,reg_cont,ventas,autocons,otrosnom,gasneg,ventas_tri,auto_tri,otros_tri,gasto_tri,ing_tri,ero_tri
360164202,1,1,1,4,1,,2,,,,,,,,,6,2,2,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1200,5,0,,2,4,86040,216,0,25400,21391.16,53.7,0,6314.91,15129.94,0
360164206,1,1,1,4,1,,2,,,,,,,,,6,2,2,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,,2,4,19440,0,0,9907,4833.14,0,0,2463.06,2370.08,0
360164223,1,1,1,4,1,,2,,,,,,,,,1,2,1,1,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,,2,4,15550,29095,285,8320,3866.02,7233.56,70.85,2068.5,9101.93,0
360164313,1,1,1,5,1,1,2,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,29700,74700,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,5760,0,2400,0,1408.69,0,586.95,821.73,0
360164313,1,1,2,4,1,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,,2,4,28000,0,0,0,6847.82,0,0,0,6847.82,0
360164314,1,2,1,5,1,1,2,,,,,,,,,1,1,1,0,0,0,0,1,1,0,0,0,0,207000,234000,2,0,0,0,0,0,0,0,0,0,,3500,5,2,4,0,0,0,0,0,0,0,0,0,0
360164315,1,1,1,5,1,2,2,,,,,,,,,1,3,1,2,2,1,1,1,0,1,0,0,0,38500,41300,2,0,0,0,0,0,0,0,0,0,,0,,2,3,1191800,7200,0,942600,291472.82,1760.86,0,230527.17,62706.52,0
360164316,1,1,1,5,1,1,2,,,,,,,,,1,1,0,1,0,0,0,1,0,1,0,0,0,174000,297500,2,0,0,0,0,0,0,0,0,0,,0,,2,4,97000,13068,0,101800,23722.82,3195.97,0,24896.73,2022.06,0
360164316,1,1,2,4,1,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,,2,4,25000,1000,0,12500,6114.13,244.56,0,3057.06,3301.63,0
360164318,1,1,1,5,1,1,2,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,135000,180000,2,0,0,0,0,0,0,0,0,0,,3500,2,2,4,0,6240,0,8000,0,1526.08,0,1956.52,0,430.43
360190009,1,1,1,5,1,1,2,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,0,0,644400,0,0,0,157597.82,0,157597.82
360190817,1,1,1,4,2,1,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,0,0,900,0,0,0,221.31,0,221.31
400055704,1,2,1,5,1,1,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,7450,3150,2,0,0,0,0,0,0,0,0,0,,0,,2,4,950,3825,750,3420,233.6,940.57,184.42,840.98,517.62,0
400134401,1,1,1,9,1,,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,,2,3,160470,1080,0,76400,39245.38,264.13,0,18684.78,20824.72,0
