folioviv,foliohog,clave,gasto,pago_mp,gasto_tri
400738703,1,TB02,206,0,618
400738703,1,TB01,2000,0,6000
400738703,1,TB08,2900,0,2836.95
400738703,1,TB05,2000,0,6000
400738703,1,TB13,1600,0,786.88
400772304,1,TB08,3790,1685,3707.6
400772304,1,TB01,800,0,2322.58
400794502,1,TB13,5000,5000,2445.65
400794502,1,TB10,110,110,107.6
400794502,1,TB08,1280,515,1252.17
400794502,1,TB04,1000,0,2903.22
400794502,1,TB03,523,0,1518.38
400794502,1,TB01,5000,0,14516.12
400794502,1,TB02,403,0,1169.99
400794506,1,TB02,404,0,1172.9
400794506,1,TB03,125,0,362.9
400809303,1,TB08,1200,0,1173.91
400809303,1,TB11,3500,0,1711.95
400809303,1,TB12,3000,3000,1467.39
400809304,1,TB07,385,0,1117.74
400841004,1,TB01,1300,0,3774.19
400841004,1,TB02,525,0,1524.19
400855703,1,TB13,3000,0,1475.4
400855703,1,TB12,50,0,24.59
400855703,1,TB07,2800,0,8400
400855703,1,TB05,800,0,2400
400855703,1,TB04,4900,0,14700
400855703,1,TB03,587,0,1761
400855703,1,TB01,200,0,600
400863801,1,TB09,400,400,391.3
400863801,1,TB11,45000,0,22131.14
400863801,1,TB13,41600,36000,20459.01
400863801,1,TB07,2772,0,8316
400863801,1,TB03,1740,0,5220
400863801,1,TB02,1639,0,4917
400863801,1,TB01,8000,0,24000
400863801,1,TB08,5960,5960,5830.43
400916303,1,TB08,1980,430,1936.95
400924905,1,TB02,654,0,1898.7
400924905,1,TB10,28406,9470,27788.47
400924905,1,TB09,1399,0,1368.58
400924905,1,TB01,6000,0,17419.35
400924905,1,TB13,1850,1850,904.89
400924905,1,TB03,327,0,949.35
400924905,1,TB05,200,0,580.64
400924905,1,TB08,1768,568,1729.56
400959301,1,TB11,12500,0,6114.13
400962205,1,TB01,1700,0,4935.48
400984503,1,TB11,6000,0,2934.78
401003701,1,TB01,6000,0,18000
401003701,1,TB02,503,0,1509
401003701,1,TB03,852,0,2556
401003701,1,TB05,500,0,1500
401003701,1,TB08,685,565,670.1
401003701,1,TR08,350,0,342.39
401003701,1,TB12,3000,500,1475.4
401003702,1,TB08,11600,0,11347.82
401005303,1,TB11,853,0,417.22
401020005,1,TB09,500,0,489.13
401020005,1,TB10,420,140,410.86
401020005,1,TB13,3000,0,1467.39
401020005,1,TB01,4500,0,13064.51
401020005,1,TB02,287,0,833.22
401020005,1,TB03,818,0,2374.83
401020005,1,TB05,1200,0,3483.87
401020005,1,TB08,420,0,410.86
401043301,1,TB04,700,0,2032.25
401043301,1,TB11,11000,0,5380.43
401043301,1,TB10,7500,2500,7336.95
401043301,1,TB01,400,0,1161.29
401043301,1,TB02,1220,0,3541.93
401043301,1,TB03,1110,0,3222.58
401043301,1,TB12,2400,0,1173.91
401043301,1,TB05,5500,0,15967.74
401043301,1,TB09,600,600,586.95
401054204,1,TR01,200,0,580.64
401054204,1,TB01,300,0,870.96
401055905,1,TB12,3000,1000,1467.39
401063001,1,TR08,1200,1200,1173.91
401063001,1,TB02,725,0,2104.83
401063001,1,TB13,5700,1500,2788.04
401063001,1,TB12,600,200,293.47
401063001,1,TB11,9500,7000,4646.73
401063001,1,TB10,3900,940,3815.21
401063001,1,TB09,1500,0,1467.39
401063001,1,TB08,28550,10300,27929.34
401063001,1,TB07,3040,0,8825.8
401063001,1,TB05,500,0,1451.61
401063001,1,TB03,1590,0,4616.12
401068403,1,TB11,1600,900,782.6
401068404,1,TB08,2180,2180,2132.6
401068404,1,TB14,3024,504,1479.13
401068404,1,TB02,465,0,1349.99
401070803,1,TB08,1800,1800,1760.86
401070805,1,TB04,8500,0,25500
401070805,1,TB13,1500,1500,737.7
401070805,1,TB08,500,0,489.13
401070805,1,TB01,500,0,1500
401148222,1,TB11,445,0,221.27
401148314,1,TB08,1800,0,1760.86
