folioviv,foliohog,huespedes,huesp_come,num_trab_d,trab_come,acc_alim1,acc_alim2,acc_alim3,acc_alim4,acc_alim5,acc_alim6,acc_alim7,acc_alim8,acc_alim9,acc_alim10,acc_alim11,acc_alim12,acc_alim13,acc_alim14,acc_alim15,acc_alim16,alim17_1,alim17_2,alim17_3,alim17_4,alim17_5,alim17_6,alim17_7,alim17_8,alim17_9,alim17_10,alim17_11,alim17_12,acc_alim18,telefono,celular,tv_paga,conex_inte,num_auto,anio_auto,num_van,anio_van,num_pickup,anio_picku,num_moto,anio_moto,num_bici,anio_bici,num_trici,anio_trici,num_carret,anio_carre,num_canoa,anio_canoa,num_otro,anio_otro,num_ester,anio_ester,num_grab,anio_grab,num_radio,anio_radio,num_tva,anio_tva,num_tvd,anio_tvd,num_dvd,anio_dvd,num_video,anio_video,num_licua,anio_licua,num_tosta,anio_tosta,num_micro,anio_micro,num_refri,anio_refri,num_estuf,anio_estuf,num_lavad,anio_lavad,num_planc,anio_planc,num_maqui,anio_maqui,num_venti,anio_venti,num_aspir,anio_aspir,num_compu,anio_compu,num_impre,anio_impre,num_juego,anio_juego,esc_radio,er_aparato,er_celular,er_compu,er_aplicac,er_tv,er_otro,recib_tvd,tsalud1_h,tsalud1_m,habito_1,habito_2,habito_3,habito_4,habito_5,habito_6,consumo,nr_viv,tarjeta,pagotarjet,regalotar,regalodado,autocons,regalos,remunera,transferen,parto_g,embarazo_g,negcua,est_alim,est_trans,bene_licon,cond_licon,lts_licon,otros_lts,diconsa,frec_dicon,cond_dicon,pago_dicon,otro_pago
100146202,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,0,,1,9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,1,1,0,,0,,0,,0,,2,,,,,,,,0,20,1,,,,,,2,,1,2,2,2,2,2,2,2,2,2,2,1500,0,2,,,0,2,,,,0
100146204,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,2,1,0,1,3,2,7,1,7,0,0,1,2,1,2,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,15,1,15,0,,0,,0,,0,,0,,1,15,0,,0,,0,,0,,1,16,1,16,0,,2,16,0,,1,11,0,,0,,2,,,,,,,,0,15,,,3,,,,1,,1,2,2,1,2,1,2,2,2,2,2,1750,400,2,,,0,9,,,,0
100146204,3,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,5,7,7,4,0,2,4,5,2,2,2,1,2,1,2,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,16,0,,0,,2,,,,,,,,0,15,,,,4,,,,,1,1,2,1,2,1,1,2,2,2,2,2500,400,2,,,0,9,,,,0
100146204,2,0,0,0,0,1,2,1,2,2,1,2,2,2,,,,,,,,7,5,5,2,2,4,2,5,5,5,3,0,1,2,1,2,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,14,0,,0,,2,,,,,,,,0,15,,,3,,,,1,,1,1,2,2,2,2,1,2,2,2,2,2500,510,2,,,0,9,,,,0
100146204,4,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,7,4,4,4,0,1,5,5,7,7,1,3,2,1,2,1,1,6,0,,0,,1,12,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,16,1,16,0,,1,,,,,,6,,0,10,,2,,,,,2,,1,1,1,1,2,1,2,2,2,2,2,2220,200,2,,,0,9,,,,0
100146205,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,1,5,6,7,2,1,7,7,7,7,7,1,1,2,1,1,1,15,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,6,0,,2,6,1,9,1,6,1,6,1,86,0,,0,,1,11,1,86,1,86,2,11,1,86,7,11,0,,1,11,1,15,0,,2,,,,,,,,0,30,,,,,5,,,,2,2,2,2,2,1,2,1,2,2,2,1500,144,2,,,0,2,,,,0
100146206,1,0,0,0,0,1,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,7,3,7,3,3,7,0,7,7,7,7,3,1,1,1,2,1,0,,0,,0,,0,,1,15,0,,0,,0,,0,,1,5,1,90,0,,2,2,0,,1,2,0,,1,2,0,,0,,1,16,0,,1,5,1,2,0,,1,10,0,,0,,0,,0,,1,1,,,,,,,0,30,1,,,,,,1,,2,2,2,2,2,1,2,2,2,2,2,1170,323,2,,,0,9,,,,0
100159301,1,0,0,0,0,1,2,1,1,2,2,2,2,1,,,,,,,,7,2,1,1,7,7,0,7,7,7,7,7,1,1,1,1,1,3,1,0,,1,0,0,,0,,0,,0,,0,,0,,2,90,0,,1,90,2,85,3,5,1,0,0,,1,90,1,90,1,90,1,80,1,0,1,90,1,0,1,60,3,0,0,,1,5,1,15,0,,2,,,,,,,,0,20,,,3,,,,1,,1,1,2,2,2,2,1,1,2,2,2,3600,0,2,,,0,9,,,,0
100159302,1,0,0,0,0,2,1,1,2,1,1,1,1,1,2,2,2,1,2,2,2,7,2,4,7,7,7,1,3,7,7,7,7,1,1,1,2,2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,8,0,,2,1,1,16,0,,0,,1,16,0,,1,16,1,15,1,16,0,,1,15,0,,1,13,0,,0,,0,,0,,1,1,,,,,,2,0,20,1,,,,,,2,,2,2,2,2,2,1,2,2,2,2,2,1000,1500,2,,,0,9,,,,0
100159303,1,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,7,1,3,7,3,4,1,4,7,7,7,7,1,2,1,1,2,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,6,0,,0,,1,0,1,15,0,,0,,1,12,0,,1,6,1,0,1,0,1,14,1,12,0,,0,,0,,0,,0,,0,,1,1,,,,,,2,0,20,,,3,,,,1,,2,2,2,2,2,1,2,2,2,2,2,2000,100,2,,,0,2,,,,0
