folioviv,foliohog,numren,clave,mes_1,mes_2,mes_3,mes_4,mes_5,mes_6,ing_1,ing_2,ing_3,ing_4,ing_5,ing_6,ing_tri
100252301,1,2,P009,,,,,,,20000,0,0,0,0,0,4891.3
100252301,1,2,P044,8,7,6,5,4,3,1200,0,1200,0,1200,0,1760.86
100252301,1,2,P051,8,7,6,5,4,3,10000,0,0,0,0,0,4891.3
100252301,2,1,P001,8,7,6,5,4,3,8000,8000,8000,8000,8000,8000,23478.26
100252301,1,1,P044,8,7,6,5,4,3,1100,0,1100,0,1100,0,1614.13
100252301,1,1,P061,8,7,6,5,4,3,0,0,1200000,0,0,0,586956.52
100252303,1,1,P053,8,7,6,5,4,3,4000,0,0,0,0,0,1956.52
100252303,1,2,P069,8,7,6,5,4,3,170,170,170,170,170,170,498.91
100252303,1,1,P032,8,7,6,5,4,3,2200,2200,2200,2200,2200,2200,6456.52
100252304,1,1,P006,8,7,6,5,4,3,11000,1000,2500,0,0,0,7092.39
100252304,1,1,P007,8,7,6,5,4,3,0,0,0,2000,0,0,978.26
100252304,1,1,P009,,,,,,,50000,0,0,0,0,0,12228.26
100252304,1,1,P024,8,7,6,5,4,3,2000,2000,2000,2000,2000,2000,5869.56
100252304,1,3,P001,8,7,6,5,4,3,3600,3600,3600,0,0,0,5282.6
100252304,1,3,P077,8,7,6,5,4,3,850,850,850,850,0,0,1663.04
100252304,1,2,P077,8,7,6,5,4,3,3850,0,0,0,0,0,1883.15
100252304,1,2,P012,8,7,6,5,4,3,6152,11058,12855,15450,11985,12150,34067.93
100252304,1,1,P001,8,7,6,5,4,3,16500,16500,16500,16500,16500,16500,48423.91
100252304,1,3,P003,8,7,6,5,4,3,1000,600,300,0,0,0,929.34
100252304,1,3,P022,8,7,6,5,4,3,0,0,0,4000,4000,4000,5869.56
100252304,1,4,P001,8,7,6,5,4,3,6000,6000,6000,6000,6000,6000,17608.69
100252304,1,4,P009,,,,,,,5000,0,0,0,0,0,1222.82
100252305,1,1,P032,8,7,6,5,4,3,7000,7000,7000,7000,7000,7000,20543.47
100252305,1,2,P044,8,7,6,5,4,3,1100,0,1100,0,1100,0,1614.13
100252306,1,2,P044,8,7,6,5,4,3,1100,0,1100,0,1100,0,1614.13
100252306,1,1,P044,8,7,6,5,4,3,1150,0,1150,0,1150,0,1687.49
100252306,1,1,P001,8,7,6,5,4,3,4800,4800,4800,4800,4800,4800,14086.95
100252306,1,1,P009,,,,,,,1500,0,0,0,0,0,366.84
100260801,1,5,P001,9,8,7,6,5,4,12000,12000,12000,12000,12000,12000,35409.83
100260801,1,4,P040,9,8,7,6,5,4,2400,2400,2400,2400,2400,2400,7081.96
100260801,1,1,P001,9,8,7,6,5,4,12824,12824,12824,12824,12824,12824,37841.31
100260801,1,1,P009,,,,,,,11000,0,0,0,0,0,2704.91
100260801,1,5,P009,,,,,,,8000,0,0,0,0,0,1967.21
100260802,1,1,P012,9,8,7,6,5,4,4330,4330,4330,4330,4330,4330,12777.04
100260803,1,2,P077,10,9,8,7,6,5,1020,1900,0,370,2520,620,3162.29
100260803,1,1,P001,10,9,8,7,6,5,11600,11600,11600,11600,11600,11600,34229.5
100260803,1,1,P007,10,9,8,7,6,5,0,0,0,0,0,1300,639.34
100260803,1,1,P009,,,,,,,9000,0,0,0,0,0,2213.11
100260803,1,2,P001,10,9,8,7,6,5,9000,9000,9000,9000,9000,9000,26557.37
100260803,1,2,P009,,,,,,,8500,0,0,0,0,0,2090.16
100260803,1,3,P001,10,9,8,7,6,5,8000,8000,8000,0,0,0,11803.27
100260804,1,1,P009,,,,,,,1100,0,0,0,0,0,270.49
100260804,1,1,P001,9,8,7,6,5,4,4400,4400,4400,4400,4400,4400,12983.6
100260804,1,2,P001,9,8,7,6,5,4,4800,4800,4800,4800,4800,4800,14163.93
100260804,1,3,P022,9,8,7,6,5,4,0,0,0,0,0,2400,1180.32
100260804,1,4,P001,9,8,7,6,5,4,2800,2800,0,0,0,0,2754.09
100260804,1,4,P022,9,8,7,6,5,4,0,0,0,0,0,2400,1180.32
100260805,1,3,P009,,,,,,,30000,0,0,0,0,0,7377.04
