folioviv,foliohog,numren,id_trabajo,trapais,subor,indep,personal,pago,contrato,tipocontr,pres_1,pres_2,pres_3,pres_4,pres_5,pres_6,pres_7,pres_8,pres_9,pres_10,pres_11,pres_12,pres_13,pres_14,pres_15,pres_16,pres_17,pres_18,pres_19,pres_20,pres_21,pres_22,pres_23,pres_24,pres_25,pres_26,htrab,sinco,scian,clas_emp,tam_emp,no_ing,tiene_suel,tipoact,socios,soc_nr1,soc_nr2,soc_resp,otra_act,tipoact2,tipoact3,tipoact4,lugar,conf_pers
100797702,1,1,1,1,1,,,1,1,2,,2,,,,,7,8,9,,11,,13,14,15,16,17,18,,,,,23,24,,,48,1512,9312,3,4,,,,,,,,,,,,,
100797702,1,2,1,1,1,,,1,2,,,,,,,,,8,,,,,,,,,,,,,,,,,,,24,2716,6141,1,7,,,,,,,,,,,,,
100797702,1,3,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,5112,7221,,1,,2,3,2,,,,2,,,,,
100797702,1,4,1,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,26,30,5116,7221,1,5,,,,,,,,,,,,,
100797704,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,4111,4671,,2,,2,2,2,,,,2,,,,,
100797704,1,2,1,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,26,46,4211,4671,1,2,,,,,,,,,,,,,
100797704,1,3,1,1,1,,,1,1,1,1,,,,,,7,,,,,,,,15,,17,,19,,,,,,,,14,2322,6111,1,5,,,,,,,,,,,,,
100803902,1,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,2521,9313,,1,,2,3,2,,,,2,,,,,
100803902,1,2,1,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5,9611,8140,,1,,,,,,,,,,,,,
100803902,1,3,1,1,1,,,1,2,,,,,,,,,8,9,,,,,,,,,,,,,,,,,,50,5222,8140,,1,,,,,,,,,,,,,
