folioviv,tipo_viv,mat_pared,mat_techos,mat_pisos,antiguedad,antigua_ne,cocina,cocina_dor,cuart_dorm,num_cuarto,disp_agua,dotac_agua,excusado,uso_compar,sanit_agua,biodigest,bano_comp,bano_excus,bano_regad,drenaje,disp_elect,focos_inca,focos_ahor,combustible,estufa_chi,eli_basura,tenencia,renta,estim_pago,pago_viv,pago_mesp,tipo_adqui,viv_usada,tipo_finan,num_dueno1,hog_dueno1,num_dueno2,hog_dueno2,escrituras,lavadero,fregadero,regadera,tinaco_azo,cisterna,pileta,calent_sol,calent_gas,medidor_luz,bomba_agua,tanque_gas,aire_acond,calefacc,tot_resid,tot_hom,tot_muj,tot_hog,ubica_geo,ageb,tam_loc,est_socio,est_dis,upm,factor
0100003801,1,8,10,3, ,1,1,2,2,5,1,1,1,2,1,2,1,0,0,1,1,3,8,3, ,3,1,2700, , ,1, , , , , , , , ,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,010010000,000-0,1,4,003,0000010,248
0100003802,2,8,10,3, ,1,1,2,1,5,1,1,1,2,1,2,1,0,0,1,1,0,7,3, ,3,1,3000, , ,1, , , , , , , , ,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,010010000,000-0,1,4,003,0000010,248
0100003803,1,8,10,3,20, ,1,2,4,8,1,1,1,2,1,2,2,1,0,1,1,0,17,3, ,3,4, ,4000, , ,1,2,1,01,1, , ,1,1,1,1,1,1,2,1,2,1,1,1,2,2,6,2,4,1,010010000,000-0,1,4,003,0000010,248
0100003804,1,8,10,3, ,1,1,2,3,5,1,1,1,2,1,2,2,1,0,1,1,3,10,3, ,3,1,4000, , ,1, , , , , , , , ,1,1,1,1,1,2,2,1,1,1,1,2,2,3,0,3,1,010010000,000-0,1,4,003,0000010,248
0100003805,1,8,10,3,7, ,1,2,3,6,1,1,1,2,1,2,2,1,0,1,1,0,12,3, ,3,4, ,5000, , ,1,1,1,01,1, , ,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,0,1,010010000,000-0,1,4,003,0000010,248
0100010401,1,8,10,3,16, ,1,2,4,8,1,1,1,2,1,2,4,0,0,1,1,10,10,4, ,3,4, ,5000, , ,2, ,5,01,1, , ,1,1,1,1,1,1,2,1,1,1,1,2,2,2,5,2,3,1,010010000,000-0,1,4,003,0000020,201
0100010402,1,8,10,3,36, ,1,2,4,6,1,1,1,2,1,2,2,0,0,1,1,0,8,3, ,3,4, ,4000, , ,1,2,1,02,1, , ,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,1,010010000,000-0,1,4,003,0000020,201
0100010404,1,8,10,3,35, ,1,2,3,5,1,1,1,2,1,2,1,1,0,1,1,0,8,3, ,3,4, ,1300, , ,1,1,5,01,1, , ,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,010010000,000-0,1,4,003,0000020,201
0100010405,1,8,10,3,15, ,1,2,1,5,1,1,1,2,1,2,2,1,0,1,1,0,10,3, ,3,4, ,3000, , ,2, ,5,01,1, , ,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,0,1,1,010010000,000-0,1,4,003,0000020,201
0100010406,1,8,10,3,33, ,1,2,3,5,1,1,1,2,1,2,1,0,0,1,1,2,5,3, ,3,4, ,3500, , ,1,1,2,01,1, , ,1,1,1,1,1,1,2,2,1,1,1,2,2,2,4,2,2,1,010010000,000-0,1,4,003,0000020,201
